fold,mae,mae_settled,coverage,n_test,n_episodes
1,5.5011164147225315,2.736374138086977,1.0,5415,1805
2,5.311851529813043,2.6695590667736653,1.0,5415,1805
3,5.492454457112996,2.793084372835289,1.0,5412,1804
4,5.303641810148139,2.7872895992183118,1.0,5412,1804
5,5.474833977845416,2.7025163490431003,1.0,5412,1804
