axis,level,metric,mean,std,count
ct_saturation,0.3,mae,48.16301053621929,0.8078802641202886,25
ct_saturation,0.3,mae_settled,41.33026154033151,0.6659729229882784,25
ct_saturation,0.5,mae,18.8991930457045,0.37743460811505447,25
ct_saturation,0.5,mae_settled,16.122438218410764,0.3104239106260629,25
ct_saturation,0.7,mae,7.8871087156815305,0.11208877939520852,25
ct_saturation,0.7,mae_settled,5.681268676144909,0.11824369126251787,25
ct_saturation,no_sat,mae,5.416779637928424,0.10002468758929965,5
ct_saturation,no_sat,mae_settled,2.737764705191469,0.05340732664299683,5
jitter,0,mae,5.416779637928424,0.10002468758929965,5
jitter,0,mae_settled,2.737764705191469,0.05340732664299683,5
jitter,1,mae,22.198801618594707,7.451382620838237,25
jitter,1,mae_settled,6.902789253140217,1.8292740139597397,25
jitter,2,mae,32.72880898763954,11.690310355166107,25
jitter,2,mae_settled,9.917032394708121,3.294438816789028,25
jitter,4,mae,64.05809769490585,23.360911893476242,25
jitter,4,mae_settled,19.449909325857785,6.994185759926564,25
noise,10,mae,14.944650498460478,0.4242253147800816,25
noise,10,mae_settled,6.029686505481584,0.3079647706544688,25
noise,20,mae,7.317018249447089,0.16246831874383727,25
noise,20,mae_settled,3.312294695628305,0.08487558276930349,25
noise,30,mae,5.6934850351427135,0.07355152461684307,25
noise,30,mae_settled,2.82018949232959,0.04634981943302715,25
noise,40,mae,5.452312350851574,0.08522971923485141,25
noise,40,mae_settled,2.7494749993837244,0.046137653421692175,25
noise,clean,mae,5.416779637928424,0.10002468758929965,5
noise,clean,mae_settled,2.737764705191469,0.05340732664299683,5
