axis,level,metric,mean,std,count
ct_saturation,0.3,macro_f1,0.9618951996727632,0.01138448009913173,25
ct_saturation,0.5,macro_f1,0.9772877605908744,0.008680403417279351,25
ct_saturation,0.7,macro_f1,0.9827173263260733,0.007111202277400806,25
ct_saturation,no_sat,macro_f1,0.9848801351872549,0.007343980657413595,5
jitter,0,macro_f1,0.9848801351872549,0.007343980657413595,5
jitter,1,macro_f1,0.9846507739691936,0.006582578446501887,25
jitter,2,macro_f1,0.9833904490111989,0.008039113432862545,25
jitter,4,macro_f1,0.9811818439378592,0.009524668258802821,25
noise,10,macro_f1,0.9823271022653418,0.009562726181254455,25
noise,20,macro_f1,0.9844997757756634,0.0070619529523084324,25
noise,30,macro_f1,0.9848134057703919,0.0067575255271616385,25
noise,40,macro_f1,0.9848729848795599,0.006658175040524722,25
noise,clean,macro_f1,0.9848801351872549,0.007343980657413595,5
