axis,level,metric,mean,std,count
ct_saturation,0.3,mae,20.83175166918643,0.30739877118963993,25
ct_saturation,0.5,mae,17.31670635600135,0.29120906848342676,25
ct_saturation,0.7,mae,15.352165296353098,0.19055977213861733,25
ct_saturation,no_sat,mae,14.66252795825326,0.227951233469135,5
jitter,0,mae,14.66252795825326,0.227951233469135,5
jitter,1,mae,14.699212878773174,0.2221025524808083,25
jitter,2,mae,14.73751038524973,0.2002862670624567,25
jitter,4,mae,14.873654650340029,0.25594326036395576,25
noise,10,mae,15.505995885597398,0.23793111820633428,25
noise,20,mae,14.793047832679031,0.21545275398240257,25
noise,30,mae,14.680635497934718,0.2177878034091353,25
noise,40,mae,14.66551922113279,0.21396361045580087,25
noise,clean,mae,14.66252795825326,0.227951233469135,5
