axis,level,metric,mean,std,count
ct_saturation,0.3,macro_f1,0.5338524843915254,0.020685950633808344,25
ct_saturation,0.5,macro_f1,0.6816030081202427,0.021197558942494043,25
ct_saturation,0.7,macro_f1,0.7316330944106327,0.019347094253250548,25
ct_saturation,no_sat,macro_f1,0.7446582866023406,0.019170151159978274,5
jitter,0,macro_f1,0.7446582866023406,0.019170151159978274,5
jitter,1,macro_f1,0.732444550242236,0.01823024729938917,25
jitter,2,macro_f1,0.7162824460939461,0.02509118809907527,25
jitter,4,macro_f1,0.6820041370883376,0.034199495865232875,25
noise,10,macro_f1,0.27359653043343607,0.02844768738915996,25
noise,20,macro_f1,0.5918315876110315,0.02368064215587517,25
noise,30,macro_f1,0.7233301666474315,0.016176846779263843,25
noise,40,macro_f1,0.742190845821416,0.016541190049153602,25
noise,clean,macro_f1,0.7446582866023406,0.019170151159978274,5
