fold,mae,mae_settled,coverage,n_test,n_episodes
1,3.335080310136153,1.5805727560448983,0.9986457371498922,16245,1805
2,3.743833804979171,1.5740384833380785,0.9974761465066174,16245,1805
3,3.8760656030044953,1.6251067560789239,0.9985218033998522,16236,1804
4,3.35142342050571,1.5192891895854879,0.9966740576496674,16236,1804
5,3.8130348260258486,1.5632276605366493,0.9983370288248337,16236,1804
