axis,level,metric,mean,std,count
ct_saturation,0.3,macro_f1,0.1558643191198191,0.002334426312275092,25
ct_saturation,0.3,macro_f1_fault_only,0.473533762043124,0.0070510257293821,25
ct_saturation,0.5,macro_f1,0.20737637267438558,0.001720670207308169,25
ct_saturation,0.5,macro_f1_fault_only,0.6021449446276721,0.018563938958414416,25
ct_saturation,0.7,macro_f1,0.32230949258160235,0.0012903218161643415,25
ct_saturation,0.7,macro_f1_fault_only,0.768500245966341,0.0040465617357709925,25
ct_saturation,no_sat,macro_f1,0.3449548195053636,0.00041455870315503245,5
ct_saturation,no_sat,macro_f1_fault_only,0.8295739029938133,0.0016295669405054268,5
jitter,0,macro_f1,0.3449548195053636,0.00041455870315503245,5
jitter,0,macro_f1_fault_only,0.8295739029938133,0.0016295669405054268,5
jitter,1,macro_f1,0.34498399780117894,0.0007734230619508827,25
jitter,1,macro_f1_fault_only,0.8296124394562399,0.0024278953749880794,25
jitter,2,macro_f1,0.34436660471440583,0.0011919848846297886,25
jitter,2,macro_f1_fault_only,0.8280169377383896,0.004094056514598098,25
jitter,4,macro_f1,0.34379621390750054,0.0014751666146723618,25
jitter,4,macro_f1_fault_only,0.8262806108526921,0.004005422103757312,25
noise,10,macro_f1,0.2687589271154553,0.003392491700614794,25
noise,10,macro_f1_fault_only,0.5696749931017284,0.006962129586553168,25
noise,20,macro_f1,0.32808918360448946,0.0011987948374360582,25
noise,20,macro_f1_fault_only,0.7781928377134645,0.0034562155441116463,25
noise,30,macro_f1,0.3446839129021674,0.00038721821398269007,25
noise,30,macro_f1_fault_only,0.8289034437305748,0.0016103503716058635,25
noise,40,macro_f1,0.344942903932769,0.0004272045136529667,25
noise,40,macro_f1_fault_only,0.8295188978441819,0.0015867682453199047,25
noise,clean,macro_f1,0.3449548195053636,0.00041455870315503245,5
noise,clean,macro_f1_fault_only,0.8295739029938133,0.0016295669405054268,5
