fold,f1_macro,f1_macro_fault_only,tau_p,tau_g,train_f1
1,0.3443407345593501,0.830410423287946,1.2,0.05,0.34510900273339223
2,0.3450312110448044,0.831514015650022,1.2,0.05,0.3448709149898886
3,0.3448500316194598,0.8271843952067836,1.2,0.05,0.34492437611192217
4,0.3454847801537632,0.8289482120037156,1.2,0.05,0.34477553014524837
5,0.3450673401494405,0.8298124688205996,1.2,0.05,0.34492934232474587
