axis,level,metric,mean,std,count
ct_saturation,0.3,mae,49.4693504640388,1.21812246662084,25
ct_saturation,0.3,mae_settled,42.12890839186015,0.5978866334161805,25
ct_saturation,0.5,mae,19.486227581293452,0.5399359614414756,25
ct_saturation,0.5,mae_settled,14.514187554770972,0.2546435235186827,25
ct_saturation,0.7,mae,7.505192270944733,0.35235956116315525,25
ct_saturation,0.7,mae_settled,3.8768840848148214,0.09939117401865195,25
ct_saturation,no_sat,mae,3.623887592930276,0.2604821923795899,5
ct_saturation,no_sat,mae_settled,1.5724469691168075,0.03792215602062099,5
jitter,0,mae,3.623887592930276,0.2604821923795899,5
jitter,0,mae_settled,1.5724469691168075,0.03792215602062099,5
jitter,1,mae,20.508636020300504,6.451816628182992,25
jitter,1,mae_settled,4.403580131875184,1.2004249482329625,25
jitter,2,mae,27.211946866061876,8.236488129054088,25
jitter,2,mae_settled,6.564373025224665,2.1743007277103654,25
jitter,4,mae,43.30487385259738,11.697968588540899,25
jitter,4,mae_settled,13.031123373911804,4.679339720190642,25
noise,10,mae,12.685107877249827,0.872317104968898,25
noise,10,mae_settled,4.232599915493719,0.23279849339718695,25
noise,20,mae,6.912312559862986,0.5477703397717859,25
noise,20,mae_settled,2.125950317063035,0.09060498881693316,25
noise,30,mae,4.403720516218471,0.2775697016059,25
noise,30,mae_settled,1.6636805792535028,0.03973373347445404,25
noise,40,mae,3.719354851396373,0.2124619460610356,25
noise,40,mae_settled,1.5872410208796992,0.034778147587765096,25
noise,clean,mae,3.623887592930276,0.2604821923795899,5
noise,clean,mae_settled,1.5724469691168075,0.03792215602062099,5
