axis,level,metric,mean,std,count
ct_saturation,0.3,mae,162.5673171826778,6.688933529628188,25
ct_saturation,0.3,mae_settled,72.64023530147729,1.4042176670729503,25
ct_saturation,0.5,mae,108.83482325762958,6.482603852857982,25
ct_saturation,0.5,mae_settled,28.595109571135673,0.9712638373314741,25
ct_saturation,0.7,mae,86.16074928575965,5.4393125179929465,25
ct_saturation,0.7,mae_settled,12.702205498683952,0.6782489750427125,25
ct_saturation,no_sat,mae,77.09707041577934,6.2129658892852255,5
ct_saturation,no_sat,mae_settled,10.874905618970164,0.6331285687282212,5
jitter,0,mae,77.09707041577934,6.2129658892852255,5
jitter,0,mae_settled,10.874905618970164,0.6331285687282212,5
jitter,1,mae,76.85805726774207,5.799185841556592,25
jitter,1,mae_settled,10.915306066394457,0.5693895780514894,25
jitter,2,mae,77.42379831047883,5.640527137967535,25
jitter,2,mae_settled,10.943846053909386,0.6008189989691338,25
jitter,4,mae,78.07540609041399,5.406391338678433,25
jitter,4,mae_settled,11.00026131027872,0.589397336210585,25
noise,10,mae,80.34143370561175,7.082782203997191,25
noise,10,mae_settled,11.679447913406161,0.622874093025957,25
noise,20,mae,77.6098489099618,6.634673518280551,25
noise,20,mae_settled,10.934814315334735,0.5585151884811582,25
noise,30,mae,77.32704247911975,5.687600130455281,25
noise,30,mae_settled,10.88776314961829,0.5670159410673957,25
noise,40,mae,77.06365994881894,5.56350677768113,25
noise,40,mae_settled,10.87793869699104,0.5784528573035707,25
noise,clean,mae,77.09707041577934,6.2129658892852255,5
noise,clean,mae_settled,10.874905618970164,0.6331285687282212,5
