fold,f1_macro,f1_macro_fault_only,tau_p,tau_g,train_f1
1,0.6847893412872993,0.8392964000005629,1.5,0.05,0.6841131728892599
2,0.6831603771954856,0.8383697351317516,1.5,0.05,0.684581844150647
3,0.6822878905591321,0.8330076754203491,1.5,0.05,0.6848110403060509
4,0.68515838839342,0.8385100948524579,1.5,0.05,0.684060576278853
5,0.6860180387965144,0.8402941778772157,1.5,0.05,0.6838859871646553
