fold,mae,mae_settled,coverage,n_test,n_episodes
1,75.54708324356073,10.671611277251182,1.0,16245,1805
2,79.04421572924537,11.731411857099904,1.0,16245,1805
3,86.13751422077196,10.929829231965341,1.0,16236,1804
4,69.06570578132194,9.98477300824508,1.0,16236,1804
5,75.69083310399671,11.056902720289314,1.0,16236,1804
