fold,mae,mae_settled,coverage,n_test,n_episodes
1,153.25416665409085,40.69404099924461,1.0,5415,1805
2,165.19071577172542,44.18482963434674,1.0,5415,1805
3,157.30638413394573,42.18090175291599,1.0,5412,1804
4,152.08069887307,41.069544059691154,1.0,5412,1804
5,152.9213327656526,41.52161706556706,1.0,5412,1804
