[stride_fc_gb_W50_S10] macroF1 mean=0.9772 std=0.0012 per_fold=[0.9762, 0.9754, 0.9772, 0.9787, 0.9784] overrides=['training.target_label=event_type', 'model.model_name=hist_gradient_boosting_classifier', 'window_extraction.window_length=0.050', 'window_extraction.step_length_seconds=0.010'] (9019s)
[stride_fl_mlp_W50_S20] MAE mean=11.1613 std=0.5523 per_fold=[11.0304, 10.8785, 10.5645, 12.1964, 11.1365] overrides=['training.target_label=y_fault_location', 'model.model_name=mlp_regressor', 'window_extraction.window_length=0.050', 'window_extraction.step_length_seconds=0.020'] (3361s)
[stride_fl_mlp_W50_S10] MAE mean=11.0195 std=0.2204 per_fold=[11.1828, 10.8208, 10.897, 10.8251, 11.3717] overrides=['training.target_label=y_fault_location', 'model.model_name=mlp_regressor', 'window_extraction.window_length=0.050', 'window_extraction.step_length_seconds=0.010'] (5705s)
[stride_fl_gb_W10_S5] MAE mean=14.6461 std=0.1855 per_fold=[14.5627, 14.6355, 14.4727, 15.0025, 14.557] overrides=['training.target_label=y_fault_location', 'model.model_name=hist_gradient_boosting_regressor', 'window_extraction.window_length=0.010', 'window_extraction.step_length_seconds=0.005'] (68s)
[stride_fl_gb_W10_S10] MAE mean=14.6461 std=0.1855 per_fold=[14.5627, 14.6355, 14.4727, 15.0025, 14.557] overrides=['training.target_label=y_fault_location', 'model.model_name=hist_gradient_boosting_regressor', 'window_extraction.window_length=0.010', 'window_extraction.step_length_seconds=0.010'] (67s)
[stride_fl_gb_W20_S5] MAE mean=14.7820 std=0.2524 per_fold=[14.6598, 15.1898, 14.5122, 14.9533, 14.5947] overrides=['training.target_label=y_fault_location', 'model.model_name=hist_gradient_boosting_regressor', 'window_extraction.window_length=0.020', 'window_extraction.step_length_seconds=0.005'] (182s)
[stride_fl_gb_W20_S10] MAE mean=15.0637 std=0.2144 per_fold=[14.8076, 15.2971, 15.1016, 15.2888, 14.8234] overrides=['training.target_label=y_fault_location', 'model.model_name=hist_gradient_boosting_regressor', 'window_extraction.window_length=0.020', 'window_extraction.step_length_seconds=0.010'] (161s)
[stride_fl_gb_W20_S20] MAE mean=14.4265 std=0.1454 per_fold=[14.3953, 14.5894, 14.3649, 14.5811, 14.2017] overrides=['training.target_label=y_fault_location', 'model.model_name=hist_gradient_boosting_regressor', 'window_extraction.window_length=0.020', 'window_extraction.step_length_seconds=0.020'] (127s)
[stride_fl_mlp_W50_S50] MAE mean=11.3591 std=0.4063 per_fold=[11.0821, 11.3194, 11.3491, 12.1115, 10.9336] overrides=['training.target_label=y_fault_location', 'model.model_name=mlp_regressor', 'window_extraction.window_length=0.050', 'window_extraction.step_length_seconds=0.050'] (1627s)
[stride_fl_gb_W50_S5] MAE mean=14.6625 std=0.2039 per_fold=[14.5969, 15.0019, 14.4814, 14.7763, 14.4562] overrides=['training.target_label=y_fault_location', 'model.model_name=hist_gradient_boosting_regressor', 'window_extraction.window_length=0.050', 'window_extraction.step_length_seconds=0.005'] (833s)
[stride_fl_gb_W50_S20] MAE mean=15.3125 std=0.1807 per_fold=[15.2895, 15.5567, 15.2371, 15.4478, 15.0313] overrides=['training.target_label=y_fault_location', 'model.model_name=hist_gradient_boosting_regressor', 'window_extraction.window_length=0.050', 'window_extraction.step_length_seconds=0.020'] (464s)
[stride_fl_gb_W50_S10] MAE mean=15.1545 std=0.1436 per_fold=[15.077, 15.3912, 15.0675, 15.2425, 14.9942] overrides=['training.target_label=y_fault_location', 'model.model_name=hist_gradient_boosting_regressor', 'window_extraction.window_length=0.050', 'window_extraction.step_length_seconds=0.010'] (686s)
[stride_fl_gb_W50_S50] MAE mean=14.4641 std=0.1822 per_fold=[14.3591, 14.4972, 14.465, 14.7748, 14.2248] overrides=['training.target_label=y_fault_location', 'model.model_name=hist_gradient_boosting_regressor', 'window_extraction.window_length=0.050', 'window_extraction.step_length_seconds=0.050'] (412s)
[stride_fl_mlp_W50_S5] MAE mean=9.9547 std=0.3721 per_fold=[9.523, 10.2241, 9.6225, 10.5187, 9.8854] overrides=['training.target_label=y_fault_location', 'model.model_name=mlp_regressor', 'window_extraction.window_length=0.050', 'window_extraction.step_length_seconds=0.005'] (11196s)
[stride_fc_gb_W50_S5] macroF1 mean=0.9818 std=0.0014 per_fold=[0.9811, 0.9803, 0.9808, 0.9838, 0.9831] overrides=['training.target_label=event_type', 'model.model_name=hist_gradient_boosting_classifier', 'window_extraction.window_length=0.050', 'window_extraction.step_length_seconds=0.005'] (21898s)
