axis,level,metric,mean,std,count
ct_saturation,0.3,macro_f1,0.9146205201572181,0.002588120230575051,25
ct_saturation,0.5,macro_f1,0.9688452052733978,0.0017299911226928838,25
ct_saturation,0.7,macro_f1,0.9801026273347307,0.0011569041049949778,25
ct_saturation,no_sat,macro_f1,0.9817973313025036,0.0015294455069746445,5
jitter,0,macro_f1,0.9817973313025036,0.0015294455069746445,5
jitter,1,macro_f1,0.9809731297140609,0.0013668988543844873,25
jitter,2,macro_f1,0.9799872797671892,0.0022199212872382923,25
jitter,4,macro_f1,0.9768844090569051,0.003477069517130826,25
noise,10,macro_f1,0.9415236486555507,0.002849466793648016,25
noise,20,macro_f1,0.9793012471757778,0.0014014845460720022,25
noise,30,macro_f1,0.9815196475038677,0.001301219701404744,25
noise,40,macro_f1,0.9818057476523561,0.0012949188184821216,25
noise,clean,macro_f1,0.9817973313025036,0.0015294455069746445,5
